# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"cell","design","n","p","arm","measure","value","mcse","minutes","arm_label"
"I","I (n=500,p=20)",500,20,"oal_wamd","width_w2_stk",2.53216245564865,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","trim_frac",0.142292,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","n_fail",0,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","n_reps",500,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","bias",0.00570900632600413,0.0111408641575366,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","emp_sd",0.249117295843428,0.00788567021106624,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","rmse",0.248933527246524,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","mean_se_emp",0.233325918488177,0.00120066721764229,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","mean_se_stk",0.243895276251961,0.00134982408204923,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","se_ratio_emp",0.93661067449457,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","se_ratio_stk",0.979037908332348,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","cov_emp",0.936,0.0109456840809517,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","cov_stk",0.946,0.0101078187557949,1.41735934813817,"ODS-thr (theory object) + AIPW"
