# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"design","n","p","arm","mean_size","p_exact_oracle","p_superset_oracle","p_iv_excluded","p_bdry_retained","mean_noise","p_oal_extra","mean_oal_extra","n_reps","cell"
"IV6 (six instruments, n=500,p=20)",500,20,"oads_thr",6.0664,0.9132,0.9868,0.952,0.9976,0.0304,0.006,0.006,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"oads_bic",13.9392,0.00320000000000001,1,0.028,1,4.5512,0,0,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"trt_bic",14.1584,0,0.208,0,1,3.332,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"bch",17.9944,0,1,0,1,5.9944,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"ols_oadsthr",6.048,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"oal_ipw",12.306,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"goal_ipw",15.98,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"ry2",16.08,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"IV6"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"out_thr",6.0468,0.942,0.9928,0.9888,0.9996,0.0428,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"out_bic",14.156,0.00239999999999999,1,0.2128,1,7.0184,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oal_fix",4.32,0.0216,0.0224,0.9812,0.9996,0,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oads_thr",6.056,0.9332,0.9928,0.9796,0.9996,0.0428,0.0092,0.0092,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oads_bic",14.156,0.00239999999999999,1,0.2128,1,7.0184,0,0,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"bch",15.9936,0,1,0,1,7.9936,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"ols_oadsthr",6.038,NA,NA,NA,NA,NA,NA,NA,500,"B500_k1.50"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"out_thr",5.2848,0.3752,0.398,0.9904,0.6198,0.0464,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"out_bic",14.0772,0.00239999999999999,0.9676,0.204,0.983,6.9552,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oal_fix",3.7028,0.0156,0.0156,0.9808,0.6568,0,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oads_thr",5.4144,0.4452,0.4732,0.9804,0.679,0.0464,0.1244,0.1296,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oads_bic",14.0772,0.00239999999999999,0.9676,0.204,0.983,6.9552,0,0,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"bch",15.9552,0,1,0,1,7.9552,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"ols_oadsthr",5.596,NA,NA,NA,NA,NA,NA,NA,500,"B500_k1.10"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"out_thr",4.3296,0.0232,0.024,0.9792,0.136,0.0444,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"out_bic",13.1928,0.00160000000000001,0.6524,0.2448,0.7934,6.5196,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oal_fix",2.7176,0.000800000000000003,0.0012,0.9676,0.1616,4e-04,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oads_thr",4.4108,0.0304,0.0336,0.966,0.1698,0.0444,0.0792,0.0812,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oads_bic",13.1928,0.00160000000000001,0.6524,0.2448,0.7934,6.5196,0,0,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"bch",15.5592,0,1,0,1,7.5592,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B500_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"ols_oadsthr",4.45,NA,NA,NA,NA,NA,NA,NA,500,"B500_k0.75"
