# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits. 

        cell      arm reps fits mean_dim ps_nonconv ps_boundary ps_rankdef_fits
                0         0  0.235400             NA           0.000
                0         0  0.417400             NA           0.000
                0         0  0.035240             NA           0.000
                0         0  0.213260             NA           0.000
                0         0  0.000200             NA           0.000
                0         0  0.064760             NA           0.000
                0         0  0.000640             NA           0.000
                0         0  0.143860             NA           0.000
                0         0  0.000700             NA           0.000
                0         0  0.064760             NA           0.000
                0         0  0.210800             NA           0.000
                0         0  0.212160             NA           0.000
                0         0  0.022080             NA           0.000
                0         0  0.227120             NA           0.000
                0         0  0.022080             NA           0.000
                0         0  0.122320             NA           0.000
                0         0  0.022880             NA           0.000
                0         0  0.146960             NA           0.000
                0         0  0.024240             NA           0.000
                0         0  0.122320             NA           0.000
                0         0  0.208160             NA           0.000
                0         0  0.220320             NA           0.000
                0         0  0.012800             NA           0.000
                0         0  0.545920             NA           0.000
                0         0  0.005840             NA           0.000
                0         0  0.102480             NA           0.000
                0         0  0.007680             NA           0.000
                0         0  0.223520             NA           0.000
                0         0  0.008640             NA           0.000
                0         0  0.103360             NA           0.000
                0         0  0.193680             NA           0.000
                0         0  0.280880             NA           0.000
                0         0  0.015360             NA           0.000
                0         0  0.004800             NA           0.000
                0         0  0.138240             NA           0.000
                0         0  0.004160             NA           0.000
                0         1  0.400720            120           0.475
                0         0  0.006480             NA           0.000
                0         0  0.139600             NA           0.000
                0         0  0.206240             NA           0.000
                0         0  0.365440             NA           0.000
                0         0  0.122560             NA           0.000
                0         0  0.371840             NA           0.000
                0         0  0.131360             NA           0.000
                0         0  0.248400             NA           0.000
                0         0  0.131440             NA           0.000
                0         0  0.313280             NA           0.000
                0         0  0.137040             NA           0.000
                0         0  0.248960             NA           0.000
                0         0  0.345600             NA           0.000
                0         0  0.359280             NA           0.000
                0         0  0.000000             NA           0.000
                0         0  0.029360             NA           0.000
                0         0  0.000000             NA           0.000
                0         0  0.009920             NA           0.000
                0         0  0.000000             NA           0.000
                0         0  0.012880             NA           0.000
                0         0  0.000000             NA           0.000
                0         0  0.009920             NA           0.000
                0         0  0.018000             NA           0.000
                0         0  0.025920             NA           0.000
                0         0  0.022800             NA           0.000
                0         0  0.222000             NA           0.000
                0         0  0.023200             NA           0.000
                0         0  0.121040             NA           0.000
                0         0  0.022640             NA           0.000
                0         0  0.138960             NA           0.000
                0         0  0.024080             NA           0.000
                0         0  0.121040             NA           0.000
                0         0  0.203920             NA           0.000
                0         0  0.213680             NA           0.000
                0         0  0.002960             NA           0.000
                0         0  0.366240             NA           0.000
                0         0  0.003280             NA           0.000
                0         0  0.145280             NA           0.000
                0         0  0.002880             NA           0.000
                0         0  0.173440             NA           0.000
                0         0  0.003280             NA           0.000
                0         0  0.145280             NA           0.000
                0         0  0.362800             NA           0.000
                0         0  0.365120             NA           0.000
                0         0  0.047200             NA           0.000
                0         0  0.272800             NA           0.000
                0         0  0.047200             NA           0.000
                0         0  0.170800             NA           0.000
                0         0  0.046800             NA           0.000
                0         0  0.047200             NA           0.000
                0         0  0.170800             NA           0.000
                0         0  0.261800             NA           0.000
                0         0  0.040200             NA           0.000
                0         0  0.248200             NA           0.000
                0         0  0.021400             NA           0.000
                0         0  0.140200             NA           0.000
                0         0  0.025600             NA           0.000
                0         0  0.025200             NA           0.000
                0         0  0.140200             NA           0.000
                0         0  0.241200             NA           0.000
                0         0  0.047800             NA           0.000
                0         0  0.288800             NA           0.000
                0         0  0.005000             NA           0.000
                0         0  0.153200             NA           0.000
                0         0  0.007200             NA           0.000
                0         0  0.007800             NA           0.000
                0         0  0.153200             NA           0.000
                0         0  0.279800             NA           0.000
                0         0  0.027300             NA           0.000
                0         0  0.208800             NA           0.000
                0         0  0.027300             NA           0.000
                0         0  0.081650             NA           0.000
                0         0  0.030650             NA           0.000
                0         0  0.030850             NA           0.000
                0         0  0.081650             NA           0.000
                0         0  0.206000             NA           0.000
                0         0  0.036750             NA           0.000
                0         0  0.213800             NA           0.000
                0         0  0.017700             NA           0.000
                0         0  0.122600             NA           0.000
                0         0  0.021900             NA           0.000
                0         0  0.022100             NA           0.000
                0         0  0.122600             NA           0.000
                0         0  0.212100             NA           0.000
                0         0  0.027650             NA           0.000
                0         0  0.207500             NA           0.000
                0         0  0.000100             NA           0.000
                0         0  0.068600             NA           0.000
                0         0  0.000450             NA           0.000
                0         0  0.000400             NA           0.000
                0         0  0.068600             NA           0.000
                0         0  0.205650             NA           0.000
                0         0  0.032025             NA           0.000
                0         0  0.207825             NA           0.000
                0         0  0.032025             NA           0.000
                0         0  0.101525             NA           0.000
                0         0  0.031863             NA           0.000
                0         0  0.032025             NA           0.000
                0         0  0.101525             NA           0.000
                0         0  0.207525             NA           0.000
                0         0  0.032925             NA           0.000
                0         0  0.210588             NA           0.000
                0         0  0.021737             NA           0.000
                0         0  0.077412             NA           0.000
                0         0  0.026812             NA           0.000
                0         0  0.026875             NA           0.000
                0         0  0.077412             NA           0.000
                0         0  0.210150             NA           0.000
                0         0  0.032725             NA           0.000
                0         0  0.207450             NA           0.000
                0         0  0.000262             NA           0.000
                0         0  0.073775             NA           0.000
                0         0  0.000500             NA           0.000
                0         0  0.000500             NA           0.000
                0         0  0.073775             NA           0.000
                0         0  0.207100             NA           0.000
 max_d_se_stk_maxit cov_flips_maxit est_check
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.1128               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
